Modelo,Escenario,Accuracy (agregado),Accuracy (media folds),Accuracy (std folds),Macro F1,Weighted F1
SVM,all_data,0.4786678011425793,0.4894429881877629,0.031313127453452855,0.2927107356515809,0.4170316229590526
RandomForest,all_data,0.45946274462136866,0.47173864310842445,0.035674255334866845,0.24850353291942887,0.38895815301472253
LDA,all_data,0.38969247599367934,0.3618526132377553,0.08090376223701404,0.23681078935395755,0.3647229291373123
MLP,all_data,0.45350674607998054,0.4753731286252513,0.06354458820202824,0.22087263148642938,0.36011019056170335
CNN,all_data,0.30266196669502854,0.2818257892444193,0.0605507707121732,0.21936215215530339,0.3151761826906382
KNN,all_data,0.41570438799076215,0.42001520790505376,0.012527416260995156,0.20702364972837944,0.3487562828548016
SVM,high_confidence,0.4786678011425793,0.4894429881877629,0.031313127453452855,0.2927107356515809,0.4170316229590526
RandomForest,high_confidence,0.45946274462136866,0.47173864310842445,0.035674255334866845,0.24850353291942887,0.38895815301472253
LDA,high_confidence,0.38969247599367934,0.3618526132377553,0.08090376223701404,0.23681078935395755,0.3647229291373123
MLP,high_confidence,0.45350674607998054,0.4753731286252513,0.06354458820202824,0.22087263148642938,0.36011019056170335
CNN,high_confidence,0.26571046554029415,0.2567066351809537,0.026165493594593428,0.20910610479047156,0.2785789239344854
KNN,high_confidence,0.41570438799076215,0.42001520790505376,0.012527416260995156,0.20702364972837944,0.3487562828548016
