Modelo A,Modelo B,Acc A (media folds),Acc B (media folds),Diferencia (A-B),n_folds_comparados,p_value,p_value_holm,significativo (holm<0.05)
KNN,LDA,0.42001520790505376,0.3618526132377553,0.05816259466729845,2,1.0,1.0,False
MLP,RandomForest,0.4753731286252513,0.47173864310842445,0.003634485516826824,2,1.0,1.0,False
MLP,SVM,0.4753731286252513,0.4894429881877629,-0.014069859562511583,2,1.0,1.0,False
RandomForest,SVM,0.47173864310842445,0.4894429881877629,-0.017704345079338407,2,0.5,1.0,False
KNN,RandomForest,0.42001520790505376,0.47173864310842445,-0.051723435203370666,2,0.5,1.0,False
KNN,MLP,0.42001520790505376,0.4753731286252513,-0.05535792072019749,2,0.5,1.0,False
KNN,SVM,0.42001520790505376,0.4894429881877629,-0.06942778028270907,2,0.5,1.0,False
CNN,LDA,0.2567066351809537,0.3618526132377553,-0.10514597805680163,2,0.5,1.0,False
LDA,RandomForest,0.3618526132377553,0.47173864310842445,-0.10988602987066912,2,1.0,1.0,False
LDA,MLP,0.3618526132377553,0.4753731286252513,-0.11352051538749594,2,1.0,1.0,False
LDA,SVM,0.3618526132377553,0.4894429881877629,-0.12759037495000752,2,0.5,1.0,False
CNN,KNN,0.2567066351809537,0.42001520790505376,-0.1633085727241001,2,0.5,1.0,False
CNN,RandomForest,0.2567066351809537,0.47173864310842445,-0.21503200792747074,2,0.5,1.0,False
CNN,MLP,0.2567066351809537,0.4753731286252513,-0.21866649344429756,2,0.5,1.0,False
CNN,SVM,0.2567066351809537,0.4894429881877629,-0.23273635300680914,2,0.5,1.0,False
